staion lat: 33.451
staion lon: 132.688
staion H: 190.000
dt: 0.01
duration: 77.000
EQ lat: 32.742
EQ lon: 130.808
EQ depth: 11.000
mag: 6.5
pgamax UD EW NS: 1.163,3.918,3.883
UD EW NS: 
 16.1826  -7.4932   9.2628
 16.1798  -7.4999   9.2675
 16.1731  -7.5066   9.2637
 16.1683  -7.5075   9.2580
 16.1626  -7.5085   9.2523
 16.1540  -7.5104   9.2513
 16.1550  -7.5104   9.2542
 16.1626  -7.5123   9.2475
 16.1712  -7.5151   9.2399
 16.1836  -7.5151   9.2370
 16.1922  -7.5123   9.2332
 16.1960  -7.5104   9.2265
 16.1903  -7.5085   9.2217
 16.1798  -7.5085   9.2170
 16.1683  -7.5046   9.2246
 16.1683  -7.4951   9.2370
 16.1826  -7.4827   9.2504
 16.1903  -7.4817   9.2580
 16.1950  -7.4884   9.2694
 16.2046  -7.4970   9.2761
 16.2065  -7.5027   9.2732
 16.1979  -7.5066   9.2694
 16.1845  -7.5008   9.2704
 16.1712  -7.4894   9.2694
 16.1616  -7.4817   9.2694
 16.1569  -7.4779   9.2704
 16.1569  -7.4770   9.2742
 16.1626  -7.4846   9.2742
 16.1760  -7.4922   9.2694
 16.1874  -7.4980   9.2580
 16.1874  -7.5075   9.2446
 16.1798  -7.5161   9.2303
 16.1655  -7.5180   9.2217
 16.1512  -7.5209   9.2141
 16.1388  -7.5218   9.2065
 16.1330  -7.5180   9.2074
 16.1321  -7.5142   9.2151
 16.1359  -7.5151   9.2217
 16.1512  -7.5218   9.2256
 16.1655  -7.5285   9.2284
 16.1760  -7.5342   9.2284
 16.1864  -7.5361   9.2294
 16.1931  -7.5333   9.2341
 16.1931  -7.5266   9.2399
 16.1864  -7.5180   9.2475
 16.1760  -7.5027   9.2618
 16.1683  -7.4856   9.2809
 16.1702  -7.4665   9.2961
 16.1798  -7.4598   9.3019
 16.1903  -7.4646   9.3028
 16.1950  -7.4779   9.2981
 16.1874  -7.4951   9.2818
 16.1740  -7.5066   9.2656
 16.1626  -7.5046   9.2513
 16.1607  -7.5027   9.2408
 16.1655  -7.5027   9.2380
 16.1845  -7.4999   9.2370
 16.2055  -7.5027   9.2332
 16.2151  -7.5142   9.2284
 16.2170  -7.5247   9.2189
 16.2122  -7.5285   9.2074
 16.1979  -7.5247   9.2027
 16.1836  -7.5113   9.2027
 16.1731  -7.4980   9.2103
 16.1683  -7.4903   9.2265
 16.1683  -7.4884   9.2418
 16.1702  -7.4932   9.2580
 16.1702  -7.5027   9.2761
 16.1626  -7.5075   9.2809
 16.1550  -7.5075   9.2799
 16.1540  -7.5066   9.2837
 16.1464  -7.5085   9.2876
 16.1435  -7.5104   9.2885
 16.1607  -7.5075   9.2914
 16.1874  -7.5027   9.2856
 16.2065  -7.5027   9.2771
 16.2179  -7.5008   9.2675
 16.2170  -7.4980   9.2561
